ST,Year,half,fentanyl_and_related_substances_seizure_count,carfentanil_seizure_count,Date
ME,2019,2,237,0,2019-10-01
ME,2020,1,259,0,2020-04-01
ME,2020,2,346,0,2020-10-01
ME,2021,1,355,0,2021-04-01
ME,2021,2,378,0,2021-10-01
ME,2022,1,223,0,2022-04-01
ME,2022,2,89,0,2022-10-01
MI,1998,1,2,0,1998-04-01
MI,1998,2,1,0,1998-10-01
MI,1999,1,0,0,1999-04-01
MI,1999,2,0,0,1999-10-01
MI,2000,1,2,0,2000-04-01
MI,2000,2,1,0,2000-10-01
MI,2001,1,3,0,2001-04-01
MI,2001,2,2,0,2001-10-01
MI,2002,1,6,0,2002-04-01
MI,2002,2,3,0,2002-10-01
MI,2003,1,2,0,2003-04-01
MI,2003,2,7,0,2003-10-01
MI,2004,1,5,0,2004-04-01
MI,2004,2,8,0,2004-10-01
MI,2005,1,12,0,2005-04-01
MI,2005,2,20,0,2005-10-01
MI,2006,1,124,0,2006-04-01
MI,2006,2,114,0,2006-10-01
MI,2007,1,13,0,2007-04-01
MI,2007,2,9,0,2007-10-01
